audiobook_id,categories,rating_overall,rating_performance,rating_story
,Science Fiction & Fantasy,4.7,4.8,4.8
,Literature & Fiction,4.3,4.5,4.2
,Science Fiction & Fantasy,4.8,4.9,4.7
,Romance,4.4,4.5,4.3
,Literature & Fiction,4.6,4.8,4.6
,"Relationships, Parenting & Personal Development",4.9,4.9,4.8
,Science & Engineering,4.6,4.8,4.6
,Health & Wellness,3.1,3.0,2.8
,Romance,4.4,4.6,4.4
,Money & Finance,4.7,4.8,4.7
,Biographies & Memoirs,4.8,4.8,4.8
,Biographies & Memoirs,4.8,4.9,4.8
,Literature & Fiction,4.8,4.9,4.7
,Romance,4.6,4.7,4.6
,Business & Careers,4.5,4.7,4.6
,Education & Learning,4.8,4.8,4.7
,Literature & Fiction,4.5,4.7,4.5
,Literature & Fiction,4.6,4.7,4.5
,None,4.5,4.5,4.6
,Literature & Fiction,4.6,4.8,4.6
,Science Fiction & Fantasy,4.8,4.9,4.8
,Religion & Spirituality,4.9,4.9,4.9
,Romance,4.6,4.7,4.6
,"Relationships, Parenting & Personal Development",4.7,4.7,4.7
,Romance,4.5,4.7,4.5
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,"Mystery, Thriller & Suspense",4.9,4.9,4.9
,Literature & Fiction,4.6,4.7,4.6
,Literature & Fiction,4.5,4.6,4.4
,Biographies & Memoirs,4.8,4.7,4.7
,Literature & Fiction,4.8,4.8,4.8
,Teen & Young Adult,4.0,4.8,3.6
,Business & Careers,4.8,4.8,4.7
,Science Fiction & Fantasy,4.5,4.6,4.5
,Religion & Spirituality,4.9,4.8,4.9
,Business & Careers,4.8,4.8,4.8
,Education & Learning,4.8,4.9,4.8
,Business & Careers,4.3,4.3,4.2
,Children\'s Audiobooks,4.7,4.7,4.7
,"Relationships, Parenting & Personal Development",4.6,4.6,4.5
,Children\'s Audiobooks,4.2,3.8,4.8
,Science Fiction & Fantasy,4.8,4.9,4.7
,"Relationships, Parenting & Personal Development",4.6,4.5,4.5
,Literature & Fiction,4.6,4.7,4.6
,Health & Wellness,4.8,4.8,4.8
,Teen & Young Adult,4.6,4.7,4.6
,Teen & Young Adult,4.6,4.7,4.6
,Teen & Young Adult,4.4,4.4,4.5
,Literature & Fiction,4.6,4.8,4.5
,Science Fiction & Fantasy,4.6,4.8,4.6
,Literature & Fiction,4.7,4.8,4.6
,Literature & Fiction,4.4,4.4,4.4
,Biographies & Memoirs,4.9,5.0,4.9
,Business & Careers,4.8,4.8,4.8
,Health & Wellness,4.7,4.7,4.6
,Science Fiction & Fantasy,4.8,4.9,4.7
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,Business & Careers,4.5,4.6,4.5
,Teen & Young Adult,4.9,4.9,4.8
,Literature & Fiction,4.5,4.6,4.6
,Literature & Fiction,4.6,4.7,4.6
,Science Fiction & Fantasy,4.6,4.7,4.6
,Science Fiction & Fantasy,4.8,4.9,4.8
,Children\'s Audiobooks,4.8,4.7,4.9
,History,4.5,4.7,4.5
,Romance,4.8,4.8,4.8
,Literature & Fiction,4.5,4.6,4.6
,"Mystery, Thriller & Suspense",4.7,4.5,4.7
,Science Fiction & Fantasy,4.9,5.0,4.9
,Erotica,4.5,4.8,4.5
,Literature & Fiction,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.5,4.5,4.5
,"Mystery, Thriller & Suspense",4.7,4.8,4.6
,Literature & Fiction,4.6,4.7,4.5
,Business & Careers,4.7,4.7,4.6
,Biographies & Memoirs,4.4,4.3,4.6
